News_Source,Bias,Reporting,Country,Credibility,Media_Type,Traffic,Popularity_Estimate,link
604 Now,Left-Center,Mostly Factual,Canada,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/604-now/
WPVI - Philadelphia - Action News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/wpvi-philadelphia-action-news-bias/
79Days.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,High Traffic,High Traffic,https://mediabiasfactcheck.com/79days-news/
7NEWS,Right-Center,Mixed,Australia,Medium Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/7news/
KLAS - Las Vegas News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/klas-las-vegas-news/
911Truth.org,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/911truth-org/
The Drive 92.9 - Tulsa,Least Biased,High,United States,High Credibility,Radio Station,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-drive-92-9-tulsa-bias/
972 Magazine,Left-Center,High,Israel,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/972-magazine/
9News - KUSA,Least Biased,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/9news-kusa/
9 News (Australia),Right-Center,High,Australia,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/9-news-australia/
America First Action SuperPAC,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/america-first-action-superpac/
Anadolu Agency,Right,Mixed,Turkey,Medium Credibility,News Agency,High Traffic,High Traffic,https://mediabiasfactcheck.com/anadolu-agency/
American association for the advancement of science.,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-association-for-the-advancement-of-science-aaas/
Australian Associated Press (AAP),Least Biased,High,Australia,High Credibility,News Agency,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/australian-associated-press-aap/
American Academy of Pediatrics,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-academy-of-pediatrics/
Association of American Physicians and Surgeons (AAPS),Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/
Asharq Al-Awsat,Right-Center,Mixed,United Kingdom,Medium Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/asharq-al-awsat-2/
Abbotsford News,Left-Center,High,Canada,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/abbotsford-news-bias/
ABC (Spain),Right-Center,High,Spain,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/abc-spain/
KXTV - Sacramento News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kxtv-sacramento-news-bias/
ABC11 Eyewitness News,Left-Center,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/abc11-eyewitness-news/
ABC12/WJRT-TV,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/abc12-news-wjrt/
KTRK - ABC13 - Houston,Left-Center,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/ktrk-abc13-houston-bias/
KMIZ - Columbia News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kmiz-columbia-news-bias/
KQFX - Columbia News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kqfx-columbia-news-bias/
WHTM - Harrisburg News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/whtm-harrisburg-news/
KFSN - ABC30 Fresno News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/kfsn-abc30-fresno-news-bias/
WBMA - Birmingham News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wbma-birmingham-news/
KTVX - Salt Lake City News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/ktvx-salt-lake-city-news/
WXLV - Winston-Salem,Right-Center,High,United States,High Credibility,TV Station,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/wxlv-winston-salem-bias/
WSYX - ABC6onyourside.com,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wsyx-abc6onyourside-com-bias/
KABC - Los Angeles News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/kabc-los-angeles-news-bias/
KVIH - Clovis News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kvih-clovis-news-bias/
KVII - Amarillo News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kvii-amarillo-news-bias/
ABC7chicago.com,Least Biased,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/abc7chicago-com/
KGO - ABC7 News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/kgo-abc7-news-bias/
ABC7 New York,Least Biased,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/abc7-new-york/
ABC News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/abc-news/
WCIV - Charleston News,Right-Center,High,United States,High Credibility,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wciv-charleston-news-bias/
KDNL - St. Louis News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kdnl-st-louis-news-bias/
Abort73,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/abort73/
Above the Law,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/above-the-law/
Above Top Secret,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/above-top-secret/
Albuquerque Journal,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/albuquerque-journal/
Against Crony Capitalism,Right,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/against-crony-capitialism/
Accuracy in Academia (AIA),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/accuracy-in-academia-aia/
A Call for an Uprising,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/a-call-for-an-uprising/
Accountable.US,Left,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/accountable-us/
AceShowbiz (ASB),Left-Center,Mixed,Indonesia,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/aceshowbiz-asb/
American Center for Law & Justice (ACLJ),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-center-law-justice-aclj/
ACLU,Left-Center,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-civil-liberties-union-aclu/
American College of Pediatricians,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-college-of-pediatricians/
American Council on Science and Health (ACSH),Right-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-council-on-science-and-health/
Act.TV,Left,Mostly Factual,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/act-tv/
Acting Man,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/acting-man/
Action News 3,Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/action-news-3/
WMC - Memphis News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/wmc-memphis-news-bias/
ActionNewsJax.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/actionnewsjax-com/
KHSL - Chico News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/khsl-chico-news-bias/
KNVN - Redding News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/knvn-redding-news-bias/
Acton Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/acton-institute/
Algemeen Dagblad,Least Biased,High,Netherlands,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/algemeen-dagblad/
Anxiety and Depression Association of America (ADAA),Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/anxiety-and-depression-association-of-america-adaa/
Ada Derana,Left-Center,Mixed,Sri Lanka,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/ada-derana-bias/
Adams County Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/adams-county-times/
Ada Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/ada-reporter/
ADDitude Magazine,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/additude-magazine/
The Advertiser,Right,Mixed,Australia,Medium Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-advertiser/
Alliance Defending Freedom,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/alliance-defending-freedom/
Ad Fontes Media,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/all-generalizations-are-false-ad-fontes-media/
Anti-Defamation League (ADL),Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/anti-defamation-league/
Anchorage Daily News,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/anchorage-daily-news/
Adobo Chronicles,Satire,,United States,N/A,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-adobo-chronicles/
FT Bragg Advocate-News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/ft-bragg-advocate-news/
The Advocate,Left,High,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/advocate/
Adweek,Least Biased,High,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/adweek/
Architects & Engineers for 9/11 Truth,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/architects-engineers-for-9-11-truth/
American Enterprise Institute,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-enterprise-institute/
Aeon,Left-Center,High,Australia,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/aeon/
American Family Association,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-family-association/
Affinity Magazine,Left-Center,Mixed,United States,Medium Credibility,Magazine,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/affinity-magazine/
Alliance for Justice (AFJ),Left,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alliance-for-justice-afj/
American Family News,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/onenewsnow/
Agence France-Presse (AFP),Least Biased,High,France,High Credibility,News Agency,High Traffic,High Traffic,https://mediabiasfactcheck.com/afp-agence-france-presse/
American Foreign Policy Council,Right,Mostly Factual,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-foreign-policy-council/
The Australian Financial Review,Right-Center,High,Australia,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-australian-financial-review/
Africa Check,Least Biased,Very High,South Africa,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/africa-check/
African Arguments,Left-Center,High,United Kingdom,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/african-arguments/
Africa News,Left-Center,Mostly Factual,France,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/africa-news/
The African Exponent,Questionable Sources,Mixed,Tanzania,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-african-exponent/
Aftonbladet,Left,Mixed,Sweden,Medium Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/aftonbladet/
Agassiz-Harrison Observer,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/agassiz-harrison-observer-bias/
AgDaily,Least Biased,High,United States,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/agdaily/
Age of Autism,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/age-of-autism/
Agerpres,Least Biased,High,Romania,High Credibility,News Agency,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/agerpres/
Successful Farming Magazine,Left-Center,High,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/successful-farming-magazine-bias/
American Geophysical Union (AGU),Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-geophysical-union-agu/
AgWeb,Least Biased,High,United States,High Credibility,Journal,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/agweb/
Ahval News,Left-Center,Mixed,Cyprus,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/ahval-news/
Ahwatukee Foothills News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/ahwatukee-foothills-news-bias/
Amandla,Left,High,South Africa,High Credibility,Magazine,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/amandla/
American Institute for Economic Research,Right-Center,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-institute-for-economic-research/
Accuracy in Media,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/accuracy-in-media-aim/
American Intelligence Media,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-intelligence-media/
Assyrian International News Agency,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/assyrian-international-news-agency/
American Institute of of Physics,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-american-institute-of-physics/
Airdrie Echo,Right-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/airdrie-echo-bias/
Air Force Times,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/air-force-times/
Air and Space Mag,Pro-Science,Very High,United States,High Credibility,Magazine,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/air-space-magazine/
Airwars,Least Biased,High,United Kingdom,High Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/airwars/
Aish.com,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/aish-com/
American Journal of Archaeology,Pro-Science,Very High,United States,High Credibility,Journal,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-journal-of-archaeology/
Atlanta Journal-Constitution,Left-Center,High,United States,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/atlanta-journal-constitution/
American Journal of Public Health (AJPH),Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/american-journal-of-public-health-ajph/
Al Monitor,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/al-monitor/
Al-Sura,Left-Center,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/al-sura/
Al.com (Alabama News),Right-Center,High,United States,High Credibility,Newspaper,High Traffic,High Traffic,https://mediabiasfactcheck.com/al-com-alabama-news/
Alabama Now,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/alabama-now-bias/
The New Arab,Left-Center,Mostly Factual,United Kingdom,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-new-arab/
KATH - Juneau,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kath-juneau-bias/
KAUU - Anchorage,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/ktuu-anchorage-bias/
KTUU-TV,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/ktuu-tv/
KTVA 11,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/ktva-11/
KUBD - Ketchikan,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/kubd-ketchikan/
Albany Standard,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/albany-standard/
Al Bawaba,Questionable Sources,Mixed,Jordan,Low Credibility,,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/al-bawaba/
Port Alberni Valley News,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/port-alberni-valley-news-bias/
Alberta Press Leader,Right,Mixed,Canada,Medium Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alberta-press-leader/
Alberta Views,Left-Center,High,Canada,High Credibility,Magazine,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alberta-views-bias/
Aldergrove Star,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/aldergrove-star-bias/
Al DIA,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/al-dia/
American Legislative Exchange Council (ALEC),Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/american-legislative-exchange-council-alec/
Aleteia,Right-Center,Mixed,France,Medium Credibility,Organization/Foundation,High Traffic,High Traffic,https://mediabiasfactcheck.com/aleteia/
Alexander City Outlook,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alexander-city-outlook-bias/
Dadeville Record,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/dadeville-record-bias/
The Algemeiner Journal,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/the-algemeiner-journal/
Al Jazeera,Left-Center,Mixed,Qatar,Medium Credibility,TV Station,High Traffic,High Traffic,https://mediabiasfactcheck.com/al-jazeera/
AllAfrica,Least Biased,High,South Africa,High Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/allafrica/
AllGov,Left-Center,High,United States,High Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/allgov/
Alliance for Advanced Health,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alliance-advanced-health/
Alliance for Science,Pro-Science,High,United States,High Credibility,Organization/Foundation,High Traffic,High Traffic,https://mediabiasfactcheck.com/alliance-for-science/
Grove City Allied News,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/grove-city-allied-news-bias/
Independent Flordia Alligator,Left,High,United States,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/the-independent-florida-alligator/
All News Pipeline,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,Medium Traffic,https://mediabiasfactcheck.com/all-news-pipeline/
Alloa Advertiser,Least Biased,High,United Kingdom,High Credibility,Newspaper,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alloa-advertiser-bias/
Al-Masdar News,Questionable Sources,Mixed,Lebanon,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/al-masdar-news-amn/
Aloha State News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/aloha-state-news/
Alpha News,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,Minimal Traffic,https://mediabiasfactcheck.com/alpha-news/
