veracity,Claim_by,Claim
BLATANT LIE,Claim by Donald Trump (R)," In the 2018 Florida governor’s race “votes were being stolen by the corrupt election process in Broward. … I sent in the FBI and the U.S. Attorneys, and the ballot theft immediately ended. … I stopped his Election from being stolen.”"
BLATANT LIE,Claim via Social Media, The IRS donated thousands of dollars to the campaign of Arizona gubernatorial candidate Katie Hobbs.
FALSE,Claim via Social Media, “Leaked Hospital Email Reveals Explosion of Stillbirths Following COVID Vaccine Rollout”
TRUE,Did he say it?," On election night 2022, Arizona Republican Rep. Andy Biggs joked that House Speaker Nancy Pelosi was “losing the gavel but finding the hammer,” a reference to the brutal attack on her husband, Paul."
BLATANT LIE,Claim by Georgia Gun Owners," “Raphael Warnock and Stacey Abrams are radical communists and, if they get their way, gun owners here in Georgia will be completely disarmed.”"
MOSLTY FALSE,(International," Children in England vaccinated against COVID-19 are 13,633 percent more likely to die with the virus and 4423 percent more likely to die from any cause."
BLATANT LIE,Claim via Social media, Arizona Secretary of State Katie Hobbs is seen in a photo “inside the ballot rooms” during vote tabulation.
BLATANT LIE,Claim by Mike Lindell, Vote spike charts from 2022 illustrate US election fraud.
FALSE,Claim by Kari Lake (R)," The COVID-19 vaccine for children is proving to be “not only ineffective, it’s also proving to be dangerous.”"
FALSE,Claim via Social Media, New York State’s Office of Pistol Licensing announced all pistol licenses are now concealed-carry
FALSE,Claim via Social Media," Kid Rock posted “Zelensky just bought his parents an $8,000,000 villa, complete with a salt water pool & 3 brand new vehicles.”"
MOSLTY FALSE,(International," Auckland has seen the greatest increase in air pollution, landfill waste and sea pollution in the last 15 years, according to council data."
TRUE,Claim by Jevin Hodge (D), David Schweikert has “been convicted of 11 House ethics violations.”
BLATANT LIE,Claim by Donald Trump (R), The Pennsylvania Supreme Court ruled that the 2020 election was rigged.
TRUE,Claim via Social Media, Elon Musk visited Jeffery Epstein after release from prison.
BLATANT LIE,Claim via Social Media, Democrats used “47 million mail-in ballots” to steal “every election in the country.”
FALSE,Claim by Joe Biden (D), Biden’s Claim HIMARS Given to Ukraine Have ‘160 mile range’
FALSE,(International, The U.K. Medicines and Healthcare products Regulatory Agency (MHRA) admits in a series of email exchanges that COVID-19 is man-made and that COVID vaccines were created with computer-generated DNA.
TRUE,Claim by Joe Manchin (D), West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”
BLATANT LIE,Claim via Social Media," Phoebe Adele Gates is “unvaccinated, not even [for] childhood vaccines.”"
TRUE,Claim by Everytown for Gun Safety, “Kari Lake is opposed to red flag laws.”
BLATANT LIE,Claim via Social Media, Nancy Pelosi Spoke to Ray Epps Before January 6.
FALSE,Claim by Ted Cruz (R), “4.2 million illegal aliens have crossed since Joe Biden became president”
FALSE,(International," Human Rights Watch, an international non-government organization advocating for human rights, has not written about children in armed conflict in the Philippines."
FALSE,Claim by Charlie Kirk, “2 hour wait minimum at most polling places in Maricopa. Democrats running elections here knew this would happen. Traffic jam by design. DONT LET THEM DO 2020 AGAIN.”
BLATANT LIE,Claim by Citizens for Sanity, President Joe Biden and Democrats “send a fortune to Ukraine but nothing for our children.”
TRUE,Did he say it?," “I think if they win, I should get all the credit, and if they lose, I should not be blamed at all.”"
BLATANT LIE,Claim by Mike Lindell, Midterm election graphs promoted by My Pillow CEO Mike Lindell on social media and his Frank Speech website prove the races were stolen.
FALSE,"Claim by Zachary Stieber, Stephen Hussey", “SARS-CoV-2 vaccination was associated with higher risk of myocarditis death […] risk of myocarditis following SARS-CoV-2 vaccination may be more serious than that reported previously”
FALSE,(International, Former US vice-president Mike Pence acted improperly by not excluding contested states’ votes from the 2020 US election result.
FALSE,Claim via Social Media, the 2.8 millions who died of COVID in 2020 can be due to the flu and pneumonia.
BLATANT LIE,Claim by Donald Trump (R)," “So the Pennsylvania Supreme Court just ruled, in effect, that the 2020 presidential election was rigged.”"
FALSE,Claim via Social Media, A law was passed in March 2022 permanently ending Daylight Saving Time in the United States.
BLATANT LIE,Claim via Social Media, “Joe Biden announced to the world tonight that they are going to cheat by dumping ballots.”
TRUE,Claim via Social media and right-leaning news outlets, George Soros Is Midterms’ Biggest Donor.
FALSE,(International, Press Secretary Trixie Cruz-Angeles has exposed the forgers behind the fake document on the appointment of an immigration commissioner.
FALSE,Claim by Tucker Carlson, The United States is “about to run out of diesel fuel … by the Monday of Thanksgiving week.”
BLATANT LIE,Claim via Social Media, Postal Service can destroy mail-in ballots with impunity.
FALSE,Claim via Social Media, Proposed Senate bill would give FDA power to approve dietary supplements and “ban herbs.”
BLATANT LIE,Claim via viral image, George Soros bought voting machines to rig 2022 election.
MISLEADING,Claim by Meryl Nass – Epoch Times, Federal agencies already knew that hydroxychloroquine and chloroquine “were very likely to be effective against COVID-19” based on 2014 paper.
FALSE,(International, Did the Canadian government ban its employees from using the phrase ‘Let’s Go Brandon’?
FALSE,Claim by America First Legal, “Kamala Harris said disaster aid should go to non-white citizens first.”
NO EVIDENCE,Claim by Derek Schmidt (R), Kansas Gov. Laura Kelly is “supporting and funding drag shows for children.”
MOSTLY TRUE,Claim by Liz Cheney (R), Kari Lake and Mark Finchem “have said that they will only honor the results of an election if they agree with it.”
MOSTLY TRUE,Claim by Senate Majority PAC," Says “Ron Johnson is making excuses for rioters who tried to overthrow our government, even calling them ‘peaceful protests.’”"
MOSTLY TRUE,Claim by Kari Lake (R), Katie Hobbs “has voted to double our gas tax.”
MOSTLY TRUE,(Election Bonus)," The state is absorbing the cost of overtime pay for farmworkers, and farm owners do not have to pay any more."
FALSE,Claim via Social Media, Connecticut ballot initiative on early voting would “remove the requirement of a certified seal from certain ballots.”
NO EVIDENCE,Claim by Children’s Health Defense and Joseph Mercola, Getting more COVID boosters increases a person’s likelihood of getting COVID.
FALSE,Claim by Donald Trump (R)," “Over 240,000 ‘unverified’ ballots have already been sent out in Pennsylvania, a total mess. The Democrats are playing games again.”"
TRUE,Claim by NBC News," “Covid death rates are higher among Republicans than Democrats, mounting evidence shows”"
TRUE,Claim by Ashley Hinson (R)," Nancy Pelosi gave “$30,000 … to boost @LizMathis1’s campaign”"
FALSE,(International," “47% of people in Osun state live below the poverty line, the worst in the federation.”"
MOSTLY FALSE,Claim by Club for Growth Action, Catherine Cortez Masto “was the deciding vote” to send COVID-19 stimulus checks to more than 1 million prisoners.
MISLEADING,Claim by OAN, “More people have been killed by the COVID vaccines in the last 20 months than all the other vaccines in the world over the last thirty years combined.”
BLATANT LIE,Claim by Ron DeSantis (R),  It’s not true that “the United States was built on stolen land.”
FALSE,Claim by Dan Bongino, Twitter fact-checks Biden for first time ever.
TRUE,Claim via Social Media, Mentions of the phrase “pregnant women” were changed to “pregnant people” on a page about flu guidance on the CDC website.
FALSE,(International, The bank closures in India in October are because of a return to the gold standard there.
MOSTLY FALSE,Claim by Citizens Against Government Waste," “More than half of the $739 billion tax increase (in the Inflation Reduction Act) will go to wasteful Green New Deal programs like tree equity, ‘clean’ garbage trucks, and studying cow farts.”"
BLATANT LIE,Claim via Social media, Paul Pelosi ‘knew his attacker’
BLATANT LIE,Claim via Social Media, “Pennsylvania is under a court order to count their ballots on election day and not after!!”
FALSE,Claim by Dr. Robert Malone, “The annual influenza vaccine program … it’s wrapped around the idea that we should force … the population to take a product on an annual basis so that we can maintain warm base manufacturing in case something like 1918 ever happens again.”
FALSE,Claim by Democratic Senatorial Campaign Committee," Adam Laxalt “would let states outlaw abortion, criminalize it, even for victims of rape or incest.”"
FALSE,(International, The World Economic Forum (WEF) is running Victoria’s state election.
FALSE,Claim by Kari Lake (R)," Said Katie Hobbs “fought to” “prevent students from learning (about) the Pledge of Allegiance, Constitution, Mayflower Compact and Declaration of Independence.”"
BLATANT LIE,Claim via Social media, Results of AZ Gov. race aired ahead of election show attempt to steal it.
BLATANT LIE,Claim by Joe Biden (D)," “On my watch, for the first time in 10 years, seniors are getting an increase in their Social Security checks.”"
TRUE,Claim via Social media," Did Project Veritas receive $558,000 in coronavirus relief loans?"
FALSE,Claim via Social Media, The Pelosis “are refusing to turn over surveillance video of their home.”
FALSE,(International, Ukraine and Russia were already at war when Labor made its election promise to reduce electricity bills by $275.
MOSTLY TRUE,Claim by Amy Klobuchar (D), “One in six local election officials have received threats of violence” and threats against judges have doubled over four years and threats against members of Congress have increased by 10 times over five years.
BLATANT LIE,Claim via Social Media and Tucker Carlson, Jamie Raskin called to destroy “Christian” Russia by jihad.
BLATANT LIE,Claim via Viral Image, A photo shows David DePape filming the Jan. 6 Capitol attack.
TRUE,Claim via Social Media, Republicans are listed first for state (Florida) and federal races on my ballot.
FALSE,Claim by Rick Scott (R), “All Democrats in the Senate and House voted to cut $280 billion out of Medicare just two months ago.”
FALSE,(International, NZ funeral director 95% statistic proves covid-19 vaccine is causing mass death.
MOSTLY FALSE,Claim by National Rifle Association," Says Gov. Tony Evers would, “allow the government to use red flag laws to confiscate your firearms without due process.”"
FALSE,Claim by Santa Monica Observer, Paul Pelosi brought the man who attacked him with a hammer in October 2022 home from a gay bar.
BLATANT LIE,Claim via Social Media," Video shows Marjorie Taylor Greene planted pipe bombs at Republican and Democratic party headquarters on Jan. 5, 2021."
FALSE,Claim by Fox News host Tucker Carlson, The U.S. will run out of diesel fuel in 25 days.
BLATANT LIE,Claim by J.D. Vance, Rep. Tim Ryan “wanted to decriminalize fentanyl.”
FALSE,(International, COVID-19 always had a greater survival rate than influenza.
MOSTLY FALSE,Claim by Adam Laxalt and National Republican Senatorial Committee," “Catherine Cortez Masto doubled her own net worth, becoming a multimillionaire while in office.”"
FALSE,Claim by thegatewaypundit.com, The absence of two webpages from the Internet Wayback Machine archives before the attack on Paul Pelosi prove they were “fabricated” after the suspect’s arrest.
BLATANT LIE,Claim via Social Media," In Arizona, early voting would allow Kari Lake’s opponents to see how many votes they “need to fake to catch up and surpass.”"
FALSE,Claim via Social media, Bodybuilder Doug Brignole died from the COVID-19 vaccine
BLATANT LIE,Claim via Social Media, A social media video shows a transhuman baby from parents who received the COVID vaccine?
FALSE,(International, Vaccinated people are more likely to die from COVID-19 than those who are unvaccinated.
MOSTLY FALSE,Claim by Ted Cruz (R), Only Democratic cities take “‘days’ to count their votes” while “the rest of the country manages to get it done on election night.”
FALSE,Claim by Tom Harris on Fox News, Scientists have found no consistent correlation between CO2 and temperature; scientists do not know whether earth will warm or cool in future
BLATANT LIE,Claim by Technocracy News & Trends, CDC data show more than 18 million people “were injured so badly” by a Pfizer/BioNTech or Moderna COVID-19 vaccine “that they had to go to the hospital.”
FALSE,Claim by thegatewaypundit.com," Democratic officials in Pennsylvania mail out 255,000 ballots to unverified voters."
BLATANT LIE,Claim via Social Media, Today’s high food prices were planned during a 2015 food shortage simulation.
FALSE,(International, The Philippines will receive free stealth fighter jets from the US from a $100-million modernization deal.
MOSTLY FALSE,Claim by Charlie Crist (D), “Crime is up under Governor DeSantis. Crime was down when I was your governor.”
FALSE,Claim by Eric Schmitt (R), “Trudy Busch Valentine supports their anti-cop agenda.”
BLATANT LIE,Claim by Citizens for Sanity, “Every Senate Democrat voted against deporting criminal illegal immigrants.”
FALSE,Claim by Joe Biden (D)," Today, the most common price of gas in America is $3.39, down from over $5 when I took office."
BLATANT LIE,Claim via Social Media," Donald Trump Congratulates Elon Musk On Buying Twitter On October 27, 2022."
FALSE,(International, Antarctica’s average daily temperature would need to rise above 0 degrees Celsius for any ice to melt.
FALSE,Claim by Ted Budd (R), Cheri Beasley was “encouraging (riots) all across our state and all across our country in 2020.”
UNPROVEN,Claim by NewsBusters, Study Shows Google Censors Republicans in Key Senate Races
BLATANT LIE,Claim via Social Media, House Republicans’ “Commitment to America” plan would “Tax employer sponsored health care plans.”
TRUE,Claim by Philip Bump – Washington Post, “Quarter of U.S. covid deaths were probably preventable with vaccination”
MOSTLY TRUE ,Claim by West Virginia Democratic Party, “Carol Miller is a multi-millionaire worth over $16 million.”
FALSE,(International, The video shows a clash between BJP workers and people of Gujarat.
FALSE,Claim by Dan Bongino, The Bill & Melinda Gates Foundation pledged $200 million for digital IDs as part of a shift toward a “totalitarian society.”
FALSE,Claim via Social Media, An article published by the World Economic Forum confirms that the organisation is engineering the climate.
MOSTLY FALSE,Claim by Marco Rubio (R)," Val Demings “voted with Pelosi to raise taxes over $4,000 on Florida families.”"
BLATANT LIE,Claim via Social Media, A social media video shows a U.S. patent for harvesting adrenochrome from humans.
TRUE ,Claim by California Congresswoman Katie Porter (D), Corporate profits are to blame for inflation in key industries.
TRUE,(International, Viktor Orbán tweeted “how can we replace Russian gas now.”
FALSE,Claim by Charlie Kirk (R)," For climate change environmentalists, “not a single one of their predictions ever come true.”"
FALSE,Claim by Donald Trump Jr., House Speaker Nancy Pelosi refused Donald Trump’s “request for a national guard presence” during the January 6 Capitol insurrection.
MOSTLY TRUE,Claim by Raphael Warnock (D), “Black women are 3 to 4 times more likely to die (from maternal mortality) even when they have the insurance and the income.”
BLATANT LIE,Claim via Social media," Greenland ice sheet is recovering, past melting was from ‘natural warming’"
TRUE ,Claim by A Better Wisconsin Together, Says Tim Michels “opposes closing the loophole that allows domestic abusers to buy guns.”
FALSE,(International, Bongbong Marcos and Sara Duterte took steps to punish the University of the Philippines system for not implementing orders to conduct face-to-face classes
FALSE,Claim by Joe Biden (D), I got student debt forgiveness “passed by a vote or two.”
FALSE,Claim via Social Media, A 12-year-old girl who gets an abortion in Alabama is thrown in prison for life
MOSTLY FALSE,"Claim by Daniel Horowitz, Conservative Review"," A study by Kaiser Permanente “shows negative efficacy of the shots against all variants within 150 days”; “the more you inject, the more you infect”"
BLATANT LIE,Claim via Social Media," A chyron on Sean Hannity’s show said, “Dr Oz admits he’s a medical quack.”"
FALSE ,Claim by Marjorie Taylor Greene (R)," Wilder Monument in Chickamuaga, Georgia, honored “Confederate soldiers of the Wilder Brigade.”"
FALSE,(International," One in Every 500 Small Children Who Receive the Pfizer Vaccine are Hospitalised By It, Study Finds"
MOSTLY FALSE,Claim by Tim Ryan (D), Vance “started a fake nonprofit” and “did a poll for himself.”
FALSE,Claim by NTD, Government patents luciferase mark to serve as covid-19 tracker.
TRUE,Claim by GOP Representative Lisa McClain (R), Biden Sold Off More Oil Than Every Past President Combined.
BLATANT LIE,Claim via Social Media," A House Republican plan says that if the GOP wins the majority, “Retirees who have a pension, IRAs, 401k, disabled veteran benefits will be ineligible for Social Security benefits.”"
FALSE ,Claim via Social Media, Does Mandela Barnes decide who gets paroled?
FALSE,(International, Pfizer documents reveal that COVID vaccination is going to lead to “Mass Depopulation?
FALSE,Claim by Citizens for Sanity, Suggests that an immigrant charged with sexually assaulting a child entered the U.S. illegally during the Biden administration.
FALSE,Claim via Social Media, Do Republicans Plan to Cap Social Security Age at Age 90?
FALSE,Claim by Ron Johnson (R)," Days after the 2016 deadly shooting of Dallas police officers, “Mandela Barnes … rationalized violence against American police officers.”"
BLATANT LIE,Claim via Social Media, Articles reported that the same boy died of COVID-19 in three different countries.
FALSE ,Claim via Social Media, Video shows Dr. Anthony Fauci admitting “he failed Americans during the pandemic when unnecessarily forcing masks.”
FALSE,(International, French Ambassador to Ukraine Resigns.
MOSTLY TRUE,Claim by Tony Evers (D)," If a 12-year-old girl became pregnant because of rape or incest, “Tim Michels would force her to deliver the baby.”"
FALSE,Claim by Daily Mail and Fox News, Boston University created covid-19 strain with 80 percent kill rate in humans.
MISLEADING,Claim by Senate Majority PAC, Dr. Mehmet Oz “praised a plan” that could “hike taxes on working families.”
BLATANT LIE,Claim via Social Media, TX schools are distributing DNA kits to identify kids in school shootings.
FALSE ,Claim by Blake Masters (R), Immigrants illegally in the country are treated “better than military veterans.”
FALSE,(International, Australian Farmers Forced To Vaccinate Livestock With Deadly mRNA Vaccines
MOSTLY FALSE,Claim by Saving Arizona Pac, Mark Kelly “voted to allow prison inmates to receive stimulus checks five separate times.”
FALSE,Claim via Social Media and Tucker Carlson, The Centers for Disease Control and Prevention (CDC) mandated that school children get COVID-19 shots?
TRUE,Claim by Fox News, Is the Biden Administration Funding Drag Shows In Ecuador?
BLATANT LIE,Claim via Social Media, Video shows Trump’s lawyer revealing evidence that proves Biden’s election was fraudulent.
FALSE ,Claim by FF PAC, Dr. Mehmet Oz showed “support for a plan that would end Social Security and Medicare.”
FALSE,(International, “The Kyiv regime … refused to recognize the will and choice of the people and rejects any proposals for negotiations.”
MOSTLY TRUE,Claim by Joe Manchin (D), “WV families making less than $400K & small businesses will NOT be targeted by the IRS.”
FALSE,Claim by Conservative Review and Children’s Health Defense, Kaiser admitted that risk of covid-19 infection increases with each shot
MISLEADING,Claim by Club for Growth Action, Independent Senate candidate Evan McMullin of Utah said that “the Republican base is racist.”
BLATANT LIE,Claim by Viral Image, Elon Musk tweeted that he would pay for Alex Jones’ legal damages.
MOSTLY TRUE,Claim by Charlie Crist (D)," “When I was your governor, we reduced insurance rates by 10%.”"
FALSE,(International, New Zealand Police is considering an inquiry into deaths linked to COVID-19 vaccinations.
MOSTLY FALSE,Claim via Social Media," In Texas, a person can register a dead relative to vote and then cast a mail ballot in their name."
FALSE,Claim by Joe Biden (D), He was “able to bring gasoline down well over $1.60.”
MISLEADING,Claim by J.D. Vance (R)," Speaking of fentanyl coming into the United States, “you’ve got to close the border. You’ve got to finish the wall and you’ve got to make it so that these drug cartels are not able to use the U.S. southern border as a drug trafficking zone.”"
BLATANT LIE,Claim via Social Media, Ultrasonic Wristband Will Liquefy Fat Cells And Improve Blood Circulation.
FALSE,Claim by Kanye “Ye” West," Suggests fentanyl, not Derek Chauvin, killed George Floyd."
FALSE,(International, Actress Kris Aquino pretended to have autoimmune conditions to gain sympathy while Ferdinand Marcos Jr. ran for president in the 2022 national elections.
MOSTLY FALSE,Claim by Tony Evers, Says “Tim Michels wants to defund public education — calling it ‘the definition of insanity’ to continue to fund public schools.”
MISLEADING,Claim by The Lincoln Project, Republicans want America to abandon Ukraine.
FALSE,Claim via Social Media, Video shows Gov. Ron DeSantis calling for President Joe Biden to be impeached.
BLATANT LIE,Claim by Nick Myers (R), Federal aid to tribal governments is “foreign aid.”
FALSE,Claim via Social media," Texas was the largest oil producer in the world in 2018, above Saudi Arabia."
FALSE,(International," “The Kyiv regime has long been using terrorist methods, organizing political assassinations, ethnic cleansings and crackdowns on civilians.”"
FALSE,Claim by Mark Finchem (R), The Electronic Registration Information Center is “a system that’s funded by George Soros.”
MISLEADING,Claim by thepostmillennial.com, COVID mRNA vaccines are found to cause an 84% increase in death for men ages 18-39.
FALSE,Claim via Social Media, The “Department of Homeland Security and the State Department coordinated with a group called the ‘Election Integrity Partnership’ to censor Joe Biden’s opponents.”
BLATANT LIE,Claim via Social Media, Aluminum-based antiperspirants cause or exacerbate breast cancers.
FALSE,Claim via Social Media," “Alzheimer’s most of the time is preventable. It’s not genetic, and it’s type 3 diabetes, which is insulin resistance of the brain”"
FALSE,(International," Over 10,000 foreign nationals are employed in South African government departments"
FALSE,Claim via Social Media, “Premature babies are at a much higher risk of injury from immunizations than full-term babies.”
BLATANT LIE,Claim by Viral Photo," CBC News reported that Trudeau said, “Climate Change” is to blame for rise in threats toward Politicians"
FALSE,Claim via Social Media, Coloradans will pay 54 cents more per gallon of gas starting in 2023.
BLATANT LIE,Claim by Viral Image, Barron Trump has been KICKED OUT of School due non-tuition payment.
FALSE,Claim via Social Media, Trace amounts of mRNA COVID vaccine found in breast milk the first two days after vaccination make it unsafe for babies.
FALSE,(International, There has been no increase in the rate of sea level rise.
MOSTLY FALSE,Claim by Club for Growth," As attorney general, Catherine Cortez Masto “opposed tougher laws on methamphetamine dealers.”"
BLATANT LIE,Claim via Social Media, claims former President Donald Trump purportedly said there are ‘MAGA traitors everywhere.’
FALSE,Claim via Social Media, The arrest of election software CEO Eugene Yu proves “another election integrity ‘conspiracy theory’ confirmed.”
BLATANT LIE,Claim via Social Media, Durham Unveils Biden’S Disgusting “R.Ussian Plot” To Help Hilary 2024.
FALSE,Claim via viral image," Did Ukrainian President Volodymyr Zelenskyy use green screen technology, lots of editing and help from Hollywood to produce propaganda to “make things appear real”?"
FALSE,(International, The New Zealand Labour Party owns media website The Spinoff.
BLATANT LIE,Claim via Social Media, Donald Trump’s “rally just got shut down after no one shows up.”
FALSE,Claim via Social Media, Trump Admin Sold Largest U.S. Oil Refinery To Saudi Arabia.
TRUE,Claim by West Virginia Republican Party, “Overdoses reached an all-time high in 2021.”
FALSE,Claim by Sebastian Gorka, Security clearances allow Trump to keep files at Mar-a-Lago
FALSE,Claim via Social Media, Pfizer executive “admits” vaccine was never tested for preventing transmission.
FALSE,(International, Flag made of Iranian women’s chopped hair during September 2022 protest.
BLATANT LIE,Claim by Jim Marchant (R), “President Trump and I lost an election in 2020 because of a rigged election.”
BLATANT LIE,Claim via Social media, Officials are giving Social Security numbers to immigrants at the US border.
MOSTLY TRUE,Claim by Katie Hobbs (D), Kari Lake has “gone on the record saying she supports Arizona’s complete abortion ban. She’s called it a great law.”
FALSE,Claim by Fox News," Florida study found that COVID-19 mRNA vaccines increase the risk of cardiac-related death, especially in men."
BLATANT LIE,Claim by Ron Johnson (R)," “To call what happened on January 6 an armed insurrection, I just think is not accurate.”"
FALSE,(International, Wind turbine generators typically have a life span of just three to four years.
FALSE,Claim via Social Media," There’s “evidence of a massive transfer of completed, curated ballots” that are fraudulent in the 2022 election."
BLATANT LIE,Claim by Libs of TikTok, Idaho agency is purchasing porn literacy materials for students.
FALSE,Claim by Bo Hines (R)," Wiley Nickel supports “abortion all the way up until the point of birth, even post-birth.”"
FALSE,Claim by Viral Post, A post shared on Facebook claims Georgia Republican senatorial candidate Herschel Walker canceled his debate with Georgia Democratic Senator Raphael Warnock.
BLATANT LIE,Claim by newspunch.com, WEF To Force Public To Wear ‘Brain Implants’ So the Elite Can Read Their Minds
FALSE,(International, Australian farmers are forced to inject mRNA vaccine to their animals.
FALSE,Claim by Liz Wheeler (R)," The Great Reset advocates replacing capitalism with an economic system that is “kind of socialism, kind of communism” but “mostly just fascism.”"
BLATANT LIE,Claim via rumble.com, Hidden Document EXPOSES Jab Can React To 5G Towers
FALSE,Claim by Donald Trump (R), “George H.W. Bush took millions and millions of documents to a former bowling alley pieced together with what was then an old and broken Chinese restaurant. … And there was no security.”
FALSE,Claim By Joe Rogan," “The question is, ‘how much of an impact do we have on [climate]?’ That has not totally been quantified”; climate change is happening anyway, “The ice age happened without us…It’s probably this constant cycle”."
BLATANT LIE,Claim by Viral Video, Ted Cruz Calls Kamala Harris ‘Dumb’.
FALSE,(International," Video shows empty chairs at PM Modi’s event in Modhera, Gujarat."
FALSE,Claim by Viral image, George W. Bush was photographed talking into the wrong end of a phone.
BLATANT LIE,Claim via Social media, Photos show non-verbal student whose cat identity is accommodated at school.
FALSE,Claim by Viral image, The COVID-19 vaccine caused J.J. Watt’s atrial fibrillation.
FALSE,Claim via Social Media, A machine must move 500 tons of earth to make one lithium car battery
BLATANT LIE,Claim by Viral Image, CNN reported that a Uvalde parent received prison time for assaulting an officer.
FALSE,(International, The Pfizer COVID-19 vaccine causes an ‘Astonishing Drop in Male Fertility.’
FALSE,Claim via Social Media, Stacey Abrams “lobbied to move” the MLB’s All-Star Game out of Atlanta last year and a music festival this year.
BLATANT LIE,Claim via Social media, Video shows Rand Paul with evidence that Nancy Pelosi committed treason.
MOSTLY FALSE,Claim via Social Media," “$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure.”"
FALSE,Claim by Charlie Kirk, COVID-19 vaccines were “rushed into market”; VAERS shows an “unusual spike in vaccine adverse events”; unvaccinated people shouldn’t be a threat to vaccinated people
BLATANT LIE,Claim by Viral Image, The WEF said those who complied with lockdown rules will obey a “social credit system”
FALSE,(International, Did Volodymyr Zelensky Call On NATO to Start Nuclear War With Russia?
MISLEADING,Claim by Joe Biden (D), Putin Is First ‘Direct’ Nuclear Threat Since Cuban Missile Crisis
BLATANT LIE,Claim via Social Media, The Jan. 6 hearing “was abruptly canceled after it was revealed that news networks would not be showing it.”
FALSE,Claim by Catherine Cortez Masto (D), “Adam Laxalt said it was ‘good news’ that small Latino businesses suffered during the pandemic because he thought it would benefit him politically.”
FALSE,Claim by Aseem Malhotra, mRNA COVID-19 vaccines might do more harm than good.
BLATANT LIE,Claim via Social Media, “The Obama Foundation stored classified documents in an abandoned furniture warehouse.”
FALSE,(International, “Norway readies its military to counter Biden.”
MISLEADING,Claim by Alaskans for L.I.S.A., Senate candidate “Kelly Tshibaka says she wants to ban birth control in the mail.”
BLATANT LIE,Claim by redvoicemedia.com, ‘Vaccinated’ People No Longer Human – NASA-Langley Research On 5th Gen Warfare – Todd Callender With Maria Zeee [VIDEO]
FALSE,Claim via Social Media meme, The US government demolished Nikola Tesla’s Wardenclyffe Tower to prevent him giving free energy to the world.
FALSE,Claim via Social Media, Antony Blinken “confesses that Biden” is responsible for the Nord Stream pipeline leaks.
BLATANT LIE,Claim by Post, claims an American flag displayed at a Trump rally was purportedly missing its stars
FALSE,(International, Written language was invented by western civilization.
MOSTLY FALSE,Claim by Ron Desantis (R)," Lee County, Florida, wasn’t “even in the cone” of Hurricane Ian 72 hours before landfall."
BLATANT LIE,Claim via Social media," The government is giving people $8,400 to test solar panels."
TRUE,Claim by Democratic Senatorial Campaign Committee," Herschel Walker misled about “personally treating 4,500 veterans per year,” about “graduating from college” and about “working in law enforcement.”"
FALSE,Claim by naturopath Peter Glidden, “The third leading cause of death is MD-directed treatments”
BLATANT LIE,Claim via Social Media, The CDC expects “the number of people to suffer from blood clots to double — double! — right after the [COVID-19] jabs.”
FALSE,(International, The video shows Hindus and Muslims fighting against each other in London over a cricket match.
FALSE,Claim by Democratic Congressional Campaign Committee, Nevada Republican House candidate April Becker supports a nationwide abortion ban and “taking away a woman’s right to abortion with no exceptions.”
